id	unit	kind	pos	cefr	cefr_source	zipf
w:aimless|adj	aimless	word	adj	C1	cefrj	2.57
w:aimlessly|adv	aimlessly	word	adv	C1	cefrj	2.85
w:air|noun	air	word	noun	A2	cefrj	5.14
w:air_conditioning|noun	air conditioning	word	noun	B1	cefrj	0.00
w:air_force|noun	air force	word	noun	B1	cefrj	0.00
w:aircraft|noun	aircraft	word	noun	B2	cefrj	4.01
w:aircrew|noun	aircrew	word	noun	B2	cefrj	0.00
w:airline|noun	airline	word	noun	B1	cefrj	3.59
w:airplane|noun	airplane	word	noun	A1	cefrj	3.95
w:airport|noun	airport	word	noun	A1	cefrj	4.51
w:aisle|noun	aisle	word	noun	A2	cefrj	3.73
w:alarm|noun	alarm	word	noun	A2	cefrj	4.57
w:alarm|verb	alarm	word	verb	B1	cefrj	4.57
w:alarm_clock|noun	alarm clock	word	noun	A2	cefrj	0.00
w:album|noun	album	word	noun	A1	cefrj	4.15
w:alcohol|noun	alcohol	word	noun	B1	cefrj	4.36
w:alcoholic|adj	alcoholic	word	adj	B1	cefrj	3.84
w:alcoholic|noun	alcoholic	word	noun	B2	cefrj	3.84
w:alcoholism|noun	alcoholism	word	noun	B2	cefrj	2.97
w:alert|verb	alert	word	verb	B2	cefrj	4.34
w:alienate|verb	alienate	word	verb	C1	cefrj	2.69
w:align|verb	align	word	verb	C1	cefrj	3.02
w:alignment|noun	alignment	word	noun	C1	cefrj	3.08
w:alike|adj	alike	word	adj	B1	cefrj	4.04
w:alike|adv	alike	word	adv	B1	cefrj	4.04
w:alive|adj	alive	word	adj	A2	cefrj	5.23
w:all|adv	all	word	adv	A2	cefrj	6.69
w:all|det	all	word	det	A1	cefrj	6.69
w:all|pron	all	word	pron	A1	cefrj	6.69
w:all_right|adj	all right	word	adj	A1	cefrj	0.00
w:all_right|adv	all right	word	adv	A1	cefrj	0.00
w:all_encompassing|adj	all-encompassing	word	adj	C2	cefrj	0.00
w:allegation|noun	allegation	word	noun	B2	cefrj	3.04
w:allege|verb	allege	word	verb	C1	cefrj	0.00
w:allegorical|adj	allegorical	word	adj	C2	cefrj	0.00
w:allegory|noun	allegory	word	noun	C2	cefrj	2.51
w:allergic|adj	allergic	word	adj	B1	cefrj	3.91
w:alleviate|verb	alleviate	word	verb	C1	cefrj	2.89
w:alliance|noun	alliance	word	noun	B2	cefrj	4.04
w:allot|verb	allot	word	verb	C2	cefrj	2.38
w:allotment|noun	allotment	word	noun	C2	cefrj	2.71
w:allow|verb	allow	word	verb	A2	cefrj	4.77
w:allowance|noun	allowance	word	noun	B1	cefrj	3.61
